person_id,legal_name_canonical,legal_name_variants,date_of_birth,nationality,pep_status,sanctions_screening_state,last_kyc_refresh
P-055,Person 055,Person 055|P055 Alias,1980-08-15,US,none,clear,2026-05-01T00:00:00Z
P-056,Person 056,Person 056|P056 Alias,1980-09-15,GB,none,clear,2026-05-01T00:00:00Z
P-057,Person 057,Person 057|P057 Alias,1980-10-15,DE,none,clear,2026-05-01T00:00:00Z
P-058,Person 058,Person 058|P058 Alias,1980-11-15,KY,none,clear,2026-05-01T00:00:00Z
P-059,Person 059,Person 059|P059 Alias,1980-12-15,VG,none,clear,2026-05-01T00:00:00Z
P-060,Person 060,Person 060|P060 Alias,1980-01-15,US,none,clear,2026-05-01T00:00:00Z
P-061,Person 061,Person 061|P061 Alias,1980-02-15,GB,none,clear,2026-05-01T00:00:00Z
P-062,Person 062,Person 062|P062 Alias,1980-03-15,DE,none,clear,2026-05-01T00:00:00Z
P-063,Person 063,Person 063|P063 Alias,1980-04-15,KY,none,clear,2026-05-01T00:00:00Z
P-064,Person 064,Person 064|P064 Alias,1980-05-15,VG,none,clear,2026-05-01T00:00:00Z
P-065,Person 065,Person 065|P065 Alias,1980-06-15,US,none,clear,2026-05-01T00:00:00Z
P-066,Person 066,Person 066|P066 Alias,1980-07-15,GB,none,clear,2026-05-01T00:00:00Z
P-067,Person 067,Person 067|P067 Alias,1980-08-15,DE,none,clear,2026-05-01T00:00:00Z
P-068,Person 068,Person 068|P068 Alias,1980-09-15,KY,none,clear,2026-05-01T00:00:00Z
P-069,Person 069,Person 069|P069 Alias,1980-10-15,VG,none,clear,2026-05-01T00:00:00Z
P-070,Person 070,Person 070|P070 Alias,1980-11-15,US,none,clear,2026-05-01T00:00:00Z
P-071,Person 071,Person 071|P071 Alias,1980-12-15,GB,none,clear,2026-05-01T00:00:00Z
P-072,Person 072,Person 072|P072 Alias,1980-01-15,DE,none,clear,2026-05-01T00:00:00Z
P-073,Person 073,Person 073|P073 Alias,1980-02-15,KY,none,clear,2026-05-01T00:00:00Z
P-074,Person 074,Person 074|P074 Alias,1980-03-15,VG,none,clear,2026-05-01T00:00:00Z
P-075,Person 075,Person 075|P075 Alias,1980-04-15,US,none,clear,2026-05-01T00:00:00Z
P-076,Person 076,Person 076|P076 Alias,1980-05-15,GB,none,clear,2026-05-01T00:00:00Z
P-077,Person 077,Person 077|P077 Alias,1980-06-15,DE,none,clear,2026-05-01T00:00:00Z
P-078,Person 078,Person 078|P078 Alias,1980-07-15,KY,none,clear,2026-05-01T00:00:00Z
P-079,Person 079,Person 079|P079 Alias,1980-08-15,VG,none,clear,2026-05-01T00:00:00Z
P-080,Person 080,Person 080|P080 Alias,1980-09-15,US,none,clear,2026-05-01T00:00:00Z
P-081,Person 081,Person 081|P081 Alias,1980-10-15,GB,none,clear,2026-05-01T00:00:00Z
P-082,Person 082,Person 082|P082 Alias,1980-11-15,DE,none,clear,2026-05-01T00:00:00Z
P-083,Person 083,Person 083|P083 Alias,1980-12-15,KY,none,clear,2026-05-01T00:00:00Z
P-084,Person 084,Person 084|P084 Alias,1980-01-15,VG,none,clear,2026-05-01T00:00:00Z
P-085,Person 085,Person 085|P085 Alias,1980-02-15,US,none,clear,2026-05-01T00:00:00Z
P-086,Person 086,Person 086|P086 Alias,1980-03-15,GB,none,clear,2026-05-01T00:00:00Z
P-087,Person 087,Person 087|P087 Alias,1980-04-15,DE,none,clear,2026-05-01T00:00:00Z
P-088,Person 088,Person 088|P088 Alias,1980-05-15,KY,none,clear,2026-05-01T00:00:00Z
P-089,Person 089,Person 089|P089 Alias,1980-06-15,VG,none,clear,2026-05-01T00:00:00Z
P-090,Person 090,Person 090|P090 Alias,1980-07-15,US,none,clear,2026-05-01T00:00:00Z
P-091,Person 091,Person 091|P091 Alias,1980-08-15,GB,none,clear,2026-05-01T00:00:00Z
P-092,Person 092,Person 092|P092 Alias,1980-09-15,DE,none,clear,2026-05-01T00:00:00Z
P-093,Person 093,Person 093|P093 Alias,1980-10-15,KY,none,clear,2026-05-01T00:00:00Z
P-094,Person 094,Person 094|P094 Alias,1980-11-15,VG,none,clear,2026-05-01T00:00:00Z
P-095,Person 095,Person 095|P095 Alias,1980-12-15,US,none,clear,2026-05-01T00:00:00Z
P-096,Person 096,Person 096|P096 Alias,1980-01-15,GB,none,clear,2026-05-01T00:00:00Z
P-097,Person 097,Person 097|P097 Alias,1980-02-15,DE,none,clear,2026-05-01T00:00:00Z
P-098,Person 098,Person 098|P098 Alias,1980-03-15,KY,none,clear,2026-05-01T00:00:00Z
P-099,Person 099,Person 099|P099 Alias,1980-04-15,VG,none,clear,2026-05-01T00:00:00Z
P-100,Person 100,Person 100|P100 Alias,1980-05-15,US,none,clear,2026-05-01T00:00:00Z
P-101,Person 101,Person 101|P101 Alias,1980-06-15,GB,none,clear,2026-05-01T00:00:00Z
P-102,Person 102,Person 102|P102 Alias,1980-07-15,DE,none,clear,2026-05-01T00:00:00Z
P-103,Person 103,Person 103|P103 Alias,1980-08-15,KY,none,clear,2026-05-01T00:00:00Z
P-104,Person 104,Person 104|P104 Alias,1980-09-15,VG,none,clear,2026-05-01T00:00:00Z
P-105,Person 105,Person 105|P105 Alias,1980-10-15,US,none,clear,2026-05-01T00:00:00Z
P-106,Person 106,Person 106|P106 Alias,1980-11-15,GB,none,clear,2026-05-01T00:00:00Z
P-107,Person 107,Person 107|P107 Alias,1980-12-15,DE,none,clear,2026-05-01T00:00:00Z
P-108,Person 108,Person 108|P108 Alias,1980-01-15,KY,none,clear,2026-05-01T00:00:00Z
P-109,Person 109,Person 109|P109 Alias,1980-02-15,VG,none,clear,2026-05-01T00:00:00Z
P-110,Person 110,Person 110|P110 Alias,1980-03-15,US,none,clear,2026-05-01T00:00:00Z
P-111,Person 111,Person 111|P111 Alias,1980-04-15,GB,none,clear,2026-05-01T00:00:00Z
P-112,Person 112,Person 112|P112 Alias,1980-05-15,DE,none,clear,2026-05-01T00:00:00Z
P-113,Person 113,Person 113|P113 Alias,1980-06-15,KY,none,clear,2026-05-01T00:00:00Z
P-114,Person 114,Person 114|P114 Alias,1980-07-15,VG,none,clear,2026-05-01T00:00:00Z
P-115,Person 115,Person 115|P115 Alias,1980-08-15,US,none,clear,2026-05-01T00:00:00Z
P-116,Person 116,Person 116|P116 Alias,1980-09-15,GB,none,clear,2026-05-01T00:00:00Z
P-117,Person 117,Person 117|P117 Alias,1980-10-15,DE,none,clear,2026-05-01T00:00:00Z
P-118,Person 118,Person 118|P118 Alias,1980-11-15,KY,none,clear,2026-05-01T00:00:00Z
P-119,Person 119,Person 119|P119 Alias,1980-12-15,VG,none,clear,2026-05-01T00:00:00Z
P-120,Person 120,Person 120|P120 Alias,1980-01-15,US,none,clear,2026-05-01T00:00:00Z
